№;Месяц;Группировка;Гос. номер;Пробег в поездках;Моточасы;Моточасы в движении;Моточасы без движения;Заправлено;Потрачено по ДУТ всего;Потрачено по ДУТ в движении;Ср. расход по ДУТ всего;Потрачено по ДУТ на холостом ходу;Ср. расход по ДУТ на холостом ходу;Ср. расход по ДУТ в движении;Ср. скорость;Макс. скорость;;
2.14;Февраль 2024;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;10 110;209,5;161,7;39,5;3 473;3 611;2 775;43,5;117;3,0;33,5;59;426;;
2.15;Февраль 2024;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;4 452;370,4;116,5;211,0;2 004;1 879;1 100;49,9;679;3,2;29,6;31;246;;
2.16;Февраль 2024;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;5 572;198,2;116,4;77,5;1 790;1 651;1 501;33,5;248;3,2;30,6;40;98;;
2.17;Февраль 2024;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;4 900;205,3;131,4;70,2;1 948;1 786;1 593;36,9;331;4,7;33,1;35;111;;
2.18;Февраль 2024;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;11 561;472,2;220,9;248,6;4 392;4 180;3 683;37,6;541;2,2;32,9;51;378;;
2.19;Февраль 2024;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;9 759;192,4;146,8;45,2;3 300;3 246;3 114;34,5;70;1,5;33,1;64;131;;
2.20;Февраль 2024;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;4 268;148,8;104,0;34,3;1 952;1 657;1 179;56,8;118;3,6;40,9;33;144;;
2.21;Февраль 2024;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;9 846;239,8;164,9;58,6;2 910;2 837;2 189;36,7;302;5,4;28,5;51;239;;
2.22;Февраль 2024;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;12 992;296,5;184,2;110,6;4 921;4 896;4 664;39,1;239;2,2;37,3;69;207;;
3.1;Март 2024;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;6 567;118,1;99,7;17,8;1 891;2 101;1 939;33,7;36;2,1;31,1;64;137;;
3.2;Март 2024;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;17 809;347,8;247,2;76,6;;;;;;;;65;170;;
3.3;Март 2024;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;4 675;136,9;106,1;27,8;1 485;1 628;1 641;35,5;94;3,4;35,9;42;396;;
3.4;Март 2024;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;9 413;186,3;151,8;33,9;3 438;3 257;3 147;33,1;155;4,7;32,0;66;300;;
3.5;Март 2024;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;3 886;171,3;113,4;56,3;1 609;1 581;1 496;40,7;151;3,1;38,8;34;228;;
3.6;Март 2024;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;12 762;264,1;192,4;69,2;;;;;;;;66;139;;
3.7;Март 2024;MAN М065МН777 ООО КР ГРУПП;М065МН777;4 211;204,1;151,1;52,1;;;;;;;;38;103;;
3.8;Март 2024;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;3 502;36,0;20,5;15,1;;;;;;;;43;98;;
3.9;Март 2024;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;13 131;235,0;200,5;25,9;;;;;;;;63;215;;
3.10;Март 2024;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;699;29,5;16,1;13,4;141;276;249;42,3;36;2,7;38,3;41;93;;
3.11;Март 2024;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;13 249;225,6;194,9;29,8;4 025;3 879;3 776;32,1;59;2,0;31,3;63;106;;
3.12;Март 2024;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;8 919;168,5;116,4;19,9;2 746;3 071;2 291;43,6;166;8,4;32,6;59;276;;
3.13;Март 2024;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;12 173;109,3;101,6;7,8;2 677;2 270;2 188;32,6;44;5,7;31,5;69;456;;
3.14;Март 2024;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;8 359;186,8;153,1;30,3;2 930;2 803;2 567;35,9;131;4,7;32,9;51;200;;
3.15;Март 2024;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;3 614;354,9;89,0;204,0;1 614;1 687;848;56,3;643;3,2;28,6;39;130;;
3.16;Март 2024;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;7 194;354,5;163,0;186,8;2 610;2 734;2 292;35,6;401;2,2;30,0;49;187;;
3.17;Март 2024;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;5 296;186,8;135,3;51,2;1 632;1 806;1 672;34,3;282;5,5;31,9;37;176;;
3.18;Март 2024;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;9 901;465,9;208,4;257,0;3 910;3 778;3 276;38,3;529;2,1;33,6;47;150;;
3.19;Март 2024;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;15 607;257,8;222,4;34,5;5 047;5 062;4 713;34,0;33;1,0;31,7;68;115;;
3.20;Март 2024;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;2 829;90,6;66,5;16,0;926;1 067;876;49,3;86;5,8;41,0;36;207;;
3.21;Март 2024;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;9 664;212,0;152,7;53,3;3 254;3 208;2 740;39,4;283;5,4;33,8;57;270;;
3.22;Март 2024;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;9 696;297,0;149,9;131,7;4 089;3 960;3 622;43,0;294;2,3;39,4;69;120;;
4.1;Октябрь 2023;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;7 274;205,1;169,8;34,5;4 988;5 170;2 572;62,8;543;15,8;31,3;49;111;;
4.2;Октябрь 2023;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;6 306;149,7;110,3;38,2;;;;;;;;52;128;;
4.3;Октябрь 2023;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;7 333;172,0;139,2;31,7;12 879;12 649;4 301;;994;;66,6;45;218;;
4.4;Октябрь 2023;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;8 119;216,1;165,8;49,6;17 743;17 900;2 800;;;;33,3;50;144;;
4.5;Октябрь 2023;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;6 534;;;;3 890;3 679;2 709;;748;14,6;38,9;39;96;;
4.6;Октябрь 2023;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;1 242;414,8;50,7;20,5;;;;;;;;39;98;;
4.7;Октябрь 2023;MAN М065МН777 ООО КР ГРУПП;М065МН777;2 451;;;;;;;;;;;34;2;;
4.8;Октябрь 2023;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;6 014;192,3;125,2;62,6;;;;;;;;52;152;;
4.9;Октябрь 2023;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;12 808;226,6;202,1;24,0;;;;;;;;61;107;;
4.10;Октябрь 2023;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;9 772;222,3;188,8;33,2;4 031;4 082;3 491;40,4;280;8,4;34,6;53;363;;
4.11;Октябрь 2023;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;3 314;100,1;80,5;19,6;1 563;1 560;1 359;50,4;238;12,2;44,1;37;115;;
4.12;Октябрь 2023;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;13 318;265,0;227,0;37,1;30 908;31 074;4 196;;;;32,2;57;130;;
4.13;Октябрь 2023;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;8 969;190,0;170,6;19,3;9 927;9 791;4 330;;;;45,8;55;183;;
4.14;Октябрь 2023;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;7 753;242,6;179,7;61,9;3 424;3 399;2 880;45,9;444;7,2;39,1;40;126;;
4.15;Октябрь 2023;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;4 781;174,7;137,4;36,5;6 812;6 936;1 625;;;;32,2;33;176;;
4.16;Октябрь 2023;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;2 152;;;;2 251;2 346;8;;;1,0;0,5;36;115;;
4.17;Октябрь 2023;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;4 689;;;;5 851;5 795;524;;;;;44;107;;
4.18;Октябрь 2023;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;4 255;156,4;108,2;47,4;3 016;2 896;1 614;68,2;599;12,6;38,1;39;109;;
4.19;Октябрь 2023;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;7 961;192,0;145,9;43,4;3 084;2 863;2 779;36,6;91;2,1;35,6;53;102;;
4.20;Октябрь 2023;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;3 917;;;;2 269;2 093;1 176;53,7;602;0,6;30,3;41;106;;
4.21;Октябрь 2023;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;6 533;;;;13 859;13 558;3 255;;;;33,6;46;113;;
4.22;Октябрь 2023;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;12 201;292,5;245,9;45,7;5 088;5 011;5 017;38,8;226;4,9;39,0;53;211;;
5.1;Ноябрь 2023;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;11 253;193,3;164,1;28,9;2 898;2 968;2 774;30,9;50;1,7;28,9;59;115;;
5.2;Ноябрь 2023;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;15 801;340,2;258,5;81,4;;;;;;;;57;143;;
5.3;Ноябрь 2023;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;7 212;161,7;131,7;29,0;1 913;2 388;2 386;33,6;82;2,8;33,6;53;131;;
5.4;Ноябрь 2023;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;9 565;178,2;147,5;28,5;2 670;2 646;2 642;30,3;114;4,0;30,3;59;383;;
5.5;Ноябрь 2023;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;5 317;221,5;143,2;76,8;1 847;2 024;1 903;41,5;159;2,0;39,6;34;319;;
5.6;Ноябрь 2023;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;11 397;232,7;148,5;79,7;;;;;;;;63;337;;
5.7;Ноябрь 2023;MAN М065МН777 ООО КР ГРУПП;М065МН777;7 658;;;;;;;;;;;2;14;;
5.8;Ноябрь 2023;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;6 996;203,1;104,0;96,7;;;;;;;;50;102;;
5.9;Ноябрь 2023;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;10 154;178,2;143,2;34,5;;;;;;;;59;135;;
5.10;Ноябрь 2023;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;9 201;199,8;145,9;51,7;2 784;2 655;2 495;32,5;128;2,5;30,6;57;241;;
5.11;Ноябрь 2023;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;3 311;104,9;82,8;21,9;1 237;1 003;988;31,8;28;1,3;31,3;37;87;;
5.12;Ноябрь 2023;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;4 306;124,5;94,7;26,1;1 399;1 365;1 309;31,5;167;6,4;30,3;43;113;;
5.13;Ноябрь 2023;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;9 307;176,5;154,9;21,3;3 036;2 800;2 618;33,0;125;5,9;30,9;55;235;;
5.14;Ноябрь 2023;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;8 145;287,6;194,0;82,8;2 694;2 906;2 653;36,1;259;3,2;33,1;41;174;;
5.15;Ноябрь 2023;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;5 380;138,1;108,8;28,7;1 731;1 484;1 438;33,8;270;9,5;31,6;39;139;;
5.16;Ноябрь 2023;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;;;;;;;;;;;;;;;
5.17;Ноябрь 2023;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;1 068;160,7;114,9;45,8;1 984;1 866;1 704;33,0;268;5,9;30,2;47;100;;
5.18;Ноябрь 2023;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;6 087;249,8;165,3;82,4;1 989;2 162;2 103;33,8;163;2,0;32,4;39;98;;
5.19;Ноябрь 2023;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;7 727;239,6;184,3;55,2;2 832;2 976;2 784;30,6;93;1,7;28,7;51;107;;
5.20;Ноябрь 2023;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;6 736;;;;2 224;2 299;2 164;34,0;8;4,9;32,1;50;135;;
5.21;Ноябрь 2023;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;7 745;212,0;;;2 411;2 604;2 592;33,6;7;4,2;33,6;45;139;;
5.22;Ноябрь 2023;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;11 377;243,5;207,9;35,6;4 915;4 999;4 975;38,9;93;2,6;38,7;62;135;;
6.1;Декабрь 2023;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;11 549;230,4;190,8;35,4;4 036;4 002;3 747;36,2;65;1,8;33,9;60;435;;
6.2;Декабрь 2023;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;15 055;317,6;228,1;86,5;;;;;;;;58;122;;
6.3;Декабрь 2023;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;4 496;183,0;121,3;61,5;2 620;2 281;1 899;43,4;182;3,0;36,2;43;105;;
