№;Месяц;Группировка;Гос. номер;Пробег в поездках;Моточасы;Моточасы в движении;Моточасы без движения;Заправлено;Потрачено по ДУТ всего;Потрачено по ДУТ в движении;Ср. расход по ДУТ всего;Потрачено по ДУТ на холостом ходу;Ср. расход по ДУТ на холостом ходу;Ср. расход по ДУТ в движении;Ср. скорость;Макс. скорость;;
2.4;Май 2024;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;9 024;174,2;154,4;18,8;2 663;2 993;2 945;33,9;84;4,5;33,5;58;130;;
2.5;Май 2024;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;2 529;116,7;79,9;36,0;802;981;916;38,7;71;2,5;38,2;31;98;;
2.6;Май 2024;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;12 301;248,7;183,7;62,8;;;;;;;;67;335;;
2.7;Май 2024;MAN М065МН777 ООО КР ГРУПП;М065МН777;2 181;85,5;65,6;19,6;;;;;;;;34;112;;
2.8;Май 2024;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;6 434;128,8;116,5;11,7;;;;;;;;57;191;;
2.9;Май 2024;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;6 281;180,9;141,2;39,2;2 007;1 941;1 888;33,4;62;1,6;32,7;43;113;;
2.10;Май 2024;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;17 269;271,4;248,2;22,6;4 519;4 716;4 682;29,8;39;1,7;29,6;64;298;;
2.11;Май 2024;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;14 615;270,8;226,9;29,2;4 848;4 995;4 277;40,1;268;9,6;34,5;56;432;;
2.12;Май 2024;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;6 942;163,9;136,7;20,1;2 310;2 297;2 056;35,8;99;5,1;32,1;48;311;;
2.13;Май 2024;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;10 026;253,0;183,0;55,0;3 904;3 519;3 046;36,4;399;7,4;31,6;52;178;;
2.14;Май 2024;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;4 965;207,7;139,8;63,5;2 555;2 428;2 237;31,0;229;3,6;28,8;55;409;;
2.15;Май 2024;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;7 304;176,5;145,3;29,9;2 301;2 392;2 287;32,8;212;7,1;31,5;51;278;;
2.16;Май 2024;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;6 301;325,4;175,9;147,1;2 281;2 453;2 246;39,5;309;2,1;36,6;36;430;;
2.17;Май 2024;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;13 885;249,7;219,7;26,4;4 105;4 438;4 337;32,8;30;1,2;32,1;61;296;;
2.18;Май 2024;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;17 411;311,0;275,0;26,0;5 415;5 505;3 939;49,6;113;5,0;35,7;55;337;;
2.19;Май 2024;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;6 812;182,6;140,2;42,1;1 965;2 232;2 100;34,8;190;4,8;32,9;48;365;;
2.20;Май 2024;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;;;;;;;;;;;;;;;
3.1;Июнь 2024;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;10 393;210,6;187,2;22,3;3 597;3 254;3 082;31,3;22;1,0;29,7;56;278;;
3.2;Июнь 2024;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;13 253;164,7;135,9;28,0;1 981;2 273;2 169;17,9;44;1,6;17,2;61;181;;
3.3;Июнь 2024;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;7 341;213,4;178,1;34,9;2 392;2 502;2 602;34,1;105;3,0;35,6;39;466;;
3.4;Июнь 2024;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;4 412;117,9;100,5;15,9;1 722;1 721;1 922;27,4;57;3,6;30,6;62;135;;
3.5;Июнь 2024;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;1 800;88,3;61,8;26,5;1 001;717;687;39,8;43;1,8;38,4;29;102;;
3.6;Июнь 2024;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;9 739;243,0;168,7;71,5;;;;;;;;59;280;;
3.7;Июнь 2024;MAN М065МН777 ООО КР ГРУПП;М065МН777;9 333;199,3;166,5;31,6;;;;;;;;55;250;;
3.8;Июнь 2024;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;3 344;97,2;70,3;26,0;800;949;886;35,8;54;2,1;33,5;38;107;;
3.9;Июнь 2024;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;4 710;112,8;92,7;19,2;780;810;788;17,1;22;1,2;16,6;51;232;;
3.10;Июнь 2024;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;5 364;180,2;146,4;33,6;1 049;1 319;1 676;25,9;42;1,3;33,0;35;94;;
3.11;Июнь 2024;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;14 654;259,0;231,1;27,7;3 907;4 118;4 082;30,2;51;1,9;30,1;58;294;;
3.12;Июнь 2024;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;11 876;230,8;194,9;30,2;4 229;4 065;3 522;39,2;248;9,0;34,1;54;306;;
3.13;Июнь 2024;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;7 029;140,7;112,8;27,5;1 864;1 935;1 789;34,3;84;3,1;31,8;49;330;;
3.14;Июнь 2024;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;5 606;120,0;103,9;11,4;1 797;1 811;1 606;35,2;64;5,9;31,3;49;430;;
3.15;Июнь 2024;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;5 167;251,2;98,1;151,0;1 539;1 787;1 621;33,9;150;1,0;30,8;52;135;;
3.16;Июнь 2024;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;15 366;269,0;227,5;38,2;4 727;4 634;4 487;30,4;162;4,3;29,5;65;235;;
3.17;Июнь 2024;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;4 908;198,4;124,3;72,3;1 916;1 831;1 722;37,0;331;4,6;35,0;38;243;;
3.18;Июнь 2024;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;6 045;157,0;110,9;43,7;2 115;2 027;1 969;33,5;68;1,6;32,6;55;282;;
3.19;Июнь 2024;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;9 516;200,5;169,5;30,5;3 332;3 033;2 959;32,2;29;1,0;31,5;54;359;;
3.20;Июнь 2024;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;8 064;211,7;188,0;20,8;2 894;2 700;2 547;35,8;69;3,6;33,9;41;368;;
3.21;Июнь 2024;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;7 678;168,0;139,1;27,4;2 715;2 415;2 383;32,0;116;4,3;31,7;52;170;;
3.22;Июнь 2024;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;1 579;55,3;28,0;27,2;610;529;546;33,5;18;0,7;34,6;57;159;;
1.1;Июль 2024;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;13 494;222,9;208,9;12,4;3 800;3 898;3 723;29,3;36;2,9;28,0;63;256;;
1.2;Июль 2024;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;14 787;271,3;227,6;43,5;4 752;4 311;4 193;29,5;98;2,3;28,7;63;220;;
1.3;Июль 2024;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;9 081;261,9;201,4;60,5;3 060;3 172;3 354;35,2;170;2,8;37,3;43;372;;
1.4;Июль 2024;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;12 485;201,5;160,4;41,1;3 036;3 062;3 037;28,4;146;3,6;28,3;66;270;;
1.5;Июль 2024;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;3 912;162,0;107,9;53,2;1 300;1 417;1 345;36,2;81;1,6;34,7;36;172;;
1.6;Июль 2024;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;15 380;325,3;239,7;77,6;;;;;;;;65;183;;
1.7;Июль 2024;MAN М065МН777 ООО КР ГРУПП;М065МН777;8 821;297,9;183,3;111,0;;;;;;;;50;157;;
1.8;Июль 2024;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;2 881;143,6;76,3;66,1;1 184;1 179;1 094;40,2;124;1,9;37,5;39;124;;
1.9;Июль 2024;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;11 570;204,7;184,2;20,2;3 369;3 172;3 172;26,8;;;26,9;63;430;;
1.10;Июль 2024;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;4 375;176,9;127,2;49,1;1 915;1 487;1 452;34,9;182;3,7;34,3;33;94;;
1.11;Июль 2024;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;7 747;141,5;122,0;19,2;2 314;2 124;2 108;29,4;31;1,6;29,2;58;161;;
1.12;Июль 2024;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;13 849;261,3;225,4;35,8;4 365;4 414;4 392;31,4;212;6,0;31,3;61;263;;
1.13;Июль 2024;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;7 657;220,4;161,9;58,0;2 275;2 455;2 344;31,3;148;2,6;30,0;48;272;;
1.14;Июль 2024;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;7 923;161,3;143,8;12,5;2 539;2 597;2 468;34,5;51;4,2;32,9;50;165;;
1.15;Июль 2024;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;8 795;171,7;146,6;14,9;2 890;2 869;2 447;36,1;150;11,6;30,9;52;311;;
1.16;Июль 2024;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;10 743;248,2;196,8;48,8;3 083;3 058;3 052;28,9;215;4,4;28,1;53;253;;
1.17;Июль 2024;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;3 998;231,5;98,5;132,7;2 030;1 696;1 440;41,6;433;3,3;35,5;38;139;;
1.18;Июль 2024;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;13 584;274,4;212,6;60,8;3 869;4 192;4 134;31,0;112;1,9;30,6;63;198;;
1.19;Июль 2024;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;12 401;232,4;200,0;32,1;3 760;3 894;3 650;31,6;63;2,0;29,7;59;402;;
1.20;Июль 2024;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;14 749;261,4;238,3;20,9;4 070;4 410;3 726;36,6;139;7,9;31,1;59;339;;
1.21;Июль 2024;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;12 696;238,4;203,4;28,0;3 694;3 732;3 398;31,5;118;4,5;28,8;57;252;;
1.22;Июль 2024;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;8 203;152,1;135,3;16,0;2 501;2 662;2 955;33,5;48;3,0;37,3;59;306;;
2.1;Август 2024;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;12 839;225,9;212,2;13,2;3 860;3 914;3 776;30,8;15;1,1;29,8;62;176;;
2.2;Август 2024;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;15 984;316,1;264,2;50,1;5 069;4 936;4 786;31,2;134;2,7;30,3;59;209;;
2.3;Август 2024;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;8 740;234,0;193,5;40,4;3 057;3 119;3 308;36,4;106;2,6;38,6;43;283;;
2.4;Август 2024;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;13 908;244,4;215,0;28,6;4 469;4 033;4 018;29,0;118;4,1;28,9;64;193;;
2.5;Август 2024;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);;;;;;;;;;;;;;;
2.6;Август 2024;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;2 080;99,8;68,3;31,2;956;825;787;39,6;50;2,0;37,4;31;94;;
2.7;Август 2024;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;15 117;336,8;250,7;83,0;;;;;;;;61;285;;
2.8;Август 2024;MAN М065МН777 ООО КР ГРУПП;М065МН777;9 493;189,8;161,0;28,8;;;;;;;;59;183;;
2.9;Август 2024;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;5 941;159,0;126,5;32,4;2 298;2 195;2 127;36,5;57;1,8;35,5;48;104;;
2.10;Август 2024;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;16 118;301,7;258,7;40,9;4 577;4 975;4 675;31,0;49;1,2;29,2;62;215;;
2.11;Август 2024;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;7 660;194,9;164,8;30,0;2 275;2 504;2 501;32,7;271;9,1;32,8;46;100;;
2.12;Август 2024;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;10 952;196,4;170,4;22,1;3 066;3 290;2 990;33,1;35;1,6;30,2;59;374;;
2.13;Август 2024;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;8 325;148,7;133,6;14,1;3 066;3 112;2 777;38,2;476;34,0;34,2;59;254;;
2.14;Август 2024;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;12 362;225,5;197,2;27,4;4 347;4 113;3 996;33,6;141;5,2;32,7;61;156;;
2.15;Август 2024;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;13 523;254,3;221,0;31,9;4 512;4 418;4 276;33,3;117;3,7;32,3;58;165;;
2.16;Август 2024;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;14 739;256,5;231,7;15,9;4 761;4 686;4 247;34,1;156;10,1;31,0;59;298;;
2.17;Август 2024;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;18 959;321,6;285,8;35,1;5 782;5 885;5 713;31,2;140;4,0;30,9;64;156;;
2.18;Август 2024;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;5 825;270,3;147,3;122,8;2 351;2 339;2 112;39,5;485;4,0;35,6;38;115;;
2.19;Август 2024;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;11 813;214,7;183,3;31,0;3 888;3 872;3 834;33,2;67;2,2;32,9;64;215;;
2.20;Август 2024;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;16 569;293,6;260,3;33,1;5 163;5 111;4 966;31,6;93;2,8;30,7;61;189;;
2.21;Август 2024;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;8 502;219,6;182,0;27,6;3 255;2 898;2 455;41,2;92;3,6;35,2;42;443;;
2.22;Август 2024;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;12 599;217,2;190,6;20,7;3 818;3 870;3 504;36,5;103;5,2;33,1;59;233;;
2.23;Август 2024;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;9 857;193,5;180,7;12,6;3 329;3 320;3 559;34,1;47;3,8;36,6;53;174;;
3.1;Сентябрь 2024;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;8 592;172,9;151,7;16,8;2 779;2 613;2 363;31,7;24;1,4;28,8;59;174;;
3.2;Сентябрь 2024;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;9 519;165,8;146,3;19,3;2 345;2 591;2 513;27,5;29;1,5;26,7;65;167;;
3.3;Сентябрь 2024;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;5 587;196,0;160,6;35,1;2 326;2 211;2 428;42,1;119;3,4;46,4;31;261;;
3.4;Сентябрь 2024;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;11 802;199,3;171,1;27,6;2 932;2 905;3 205;27,1;101;3,7;29,9;64;169;;
3.5;Сентябрь 2024;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);766;33,7;24,6;9,1;;304;279;38,4;25;2,7;35,3;27;145;;
3.6;Сентябрь 2024;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;1 862;82,5;51,4;30,5;791;706;626;37,8;48;1,9;35,4;36;126;;
3.7;Сентябрь 2024;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;3 507;90,0;69,5;18,4;;;;;;;;60;224;;
3.8;Сентябрь 2024;MAN М065МН777 ООО КР ГРУПП;М065МН777;5 693;172,6;140,1;32,0;;;;;;;;40;313;;
3.9;Сентябрь 2024;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;6 428;181,6;130,4;50,8;2 338;2 264;2 195;34,7;83;1,6;33,8;50;109;;
3.10;Сентябрь 2024;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;10 870;234,2;181,6;51,0;3 713;3 408;3 252;31,1;78;1,5;29,8;60;346;;
3.11;Сентябрь 2024;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;11 791;261,2;227,4;30,8;3 772;3 807;3 791;33,0;123;4,0;33,0;51;193;;
3.12;Сентябрь 2024;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;5 453;119,4;99,4;20,0;1 777;1 725;1 699;34,0;31;1,6;33,6;50;154;;
3.13;Сентябрь 2024;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;13 615;237,2;213,2;23,1;4 379;4 294;4 244;31,7;173;7,6;31,4;62;387;;
3.14;Сентябрь 2024;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;8 390;169,9;150,3;19,6;2 693;2 652;2 554;31,4;73;3,7;30,3;56;206;;
3.15;Сентябрь 2024;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;13 613;281,2;229,2;47,7;4 388;4 347;4 106;32,5;178;3,8;30,7;57;302;;
3.16;Сентябрь 2024;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;7 143;137,1;119,5;10,5;2 370;2 324;2 124;33,3;94;9,8;30,6;55;219;;
3.17;Сентябрь 2024;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;5 561;172,8;118,9;48,6;1 592;1 825;1 776;33,1;166;3,4;32,4;44;222;;
3.18;Сентябрь 2024;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;3 462;141,8;86,7;54,8;1 129;1 288;1 185;38,2;252;4,6;35,8;37;374;;
3.19;Сентябрь 2024;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;9 311;181,0;153,4;25,6;2 996;3 063;3 058;32,8;70;2,8;32,9;61;269;;
3.20;Сентябрь 2024;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;10 497;208,4;177,7;29,3;3 337;3 286;3 010;31,8;31;1,1;29,2;57;239;;
3.21;Сентябрь 2024;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;11 122;279,4;180,6;91,4;3 455;3 546;2 827;43,9;190;2,2;35,2;57;457;;
3.22;Сентябрь 2024;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;13 278;239,6;203,5;28,2;4 286;4 201;3 692;38,3;125;4,7;33,8;58;267;;
3.23;Сентябрь 2024;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;14 056;285,8;227,7;53,8;5 086;4 803;4 985;34,4;102;1,9;35,8;61;296;;
;Июль 2023;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;5396;;;;;;;;;;;;;;
;Август 2023;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;6002;;;;;;;;;;;;;;
;Сентябрь 2023;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;4035;;;;;;;;;;;;;;
;Июль 2023;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);5339;;;;;;;;;;;;;;
;Август 2023;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);1202;;;;;;;;;;;;;;
;Сентябрь 2023;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);4835;;;;;;;;;;;;;;
;Октябрь 2023;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);4572;;;;;;;;;;;;;;
;Ноябрь 2023;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);5123;;;;;;;;;;;;;;
;Декабрь 2023;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);4178;;;;;;;;;;;;;;
;Январь 2024;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);3554;;;;;;;;;;;;;;
;Февраль 2024;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);5000;;;;;;;;;;;;;;
;Март 2024;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);5505;;;;;;;;;;;;;;
;Апрель 2024;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);5669;;;;;;;;;;;;;;
;Май 2024;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);1541;;;;;;;;;;;;;;
;Июнь 2024;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);212;;;;;;;;;;;;;;
;Июль 2023;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;181;;;;;;;;;;;;;;
;Август 2023;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;2052;;;;;;;;;;;;;;
;Сентябрь 2023;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;9458;;;;;;;;;;;;;;
;Июль 2023;К639ХВ777;К639ХВ777;6721;;;;;;;;;;;;;;
;Август 2023;К639ХВ777;К639ХВ777;7237;;;;;;;;;;;;;;
;Сентябрь 2023;К639ХВ777;К639ХВ777;6079;;;;;;;;;;;;;;
;Октябрь 2023;К639ХВ777;К639ХВ777;3677;;;;;;;;;;;;;;
;Ноябрь 2023;К639ХВ777;К639ХВ777;6493;;;;;;;;;;;;;;
;Декабрь 2023;К639ХВ777;К639ХВ777;4549,31;;;;;;;;;;;;;;
;Январь 2024;К639ХВ777;К639ХВ777;10861,26076;;;;;;;;;;;;;;
;Февраль 2024;К639ХВ777;К639ХВ777;3517,229237;;;;;;;;;;;;;;
;Март 2024;К639ХВ777;К639ХВ777;4448,9;;;;;;;;;;;;;;
;Апрель 2024;К639ХВ777;К639ХВ777;9031,18;;;;;;;;;;;;;;
;Май 2024;К639ХВ777;К639ХВ777;7974,4;;;;;;;;;;;;;;
;Июнь 2024;К639ХВ777;К639ХВ777;7972,28;;;;;;;;;;;;;;
;Июль 2024;К639ХВ777;К639ХВ777;3711,788477;;;;;;;;;;;;;;
;Сентябрь 2023;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;255;;;;;;;;;;;;;;
;Июль 2023;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;5926;;;;;;;;;;;;;;
;Август 2023;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;5742;;;;;;;;;;;;;;
;Сентябрь 2023;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;10258;;;;;;;;;;;;;;
;Апрель 2024;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;14508;;;;;;;;;;;;;;
;Май 2024;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;8291;;;;;;;;;;;;;;
;Август 2023;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;3305;;;;;;;;;;;;;;
;Сентябрь 2023;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;6383;;;;;;;;;;;;;;
;Июль 2023;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;8899;;;;;;;;;;;;;;
;Август 2023;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;6504;;;;;;;;;;;;;;
;Сентябрь 2023;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;11081;;;;;;;;;;;;;;
;Июль 2023;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;5924;;;;;;;;;;;;;;
;Август 2023;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;5480;;;;;;;;;;;;;;
;Сентябрь 2023;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;842;;;;;;;;;;;;;;
;Июнь 2024;О645КА977;О645КА977;1581;43;30,8;12,5;1018,6;436;433;27,6;3;0,2;27,4;2;108;;
;Июль 2024;О645КА977;О645КА977;16709;308;256,6;51,1;4105,3;4 497;4 409;26,9;87;1,7;26,4;22;117;;
;Август 2024;О645КА977;О645КА977;13105;235;194,9;39,7;4053,4;3 897;3 856;29,7;41;1,0;29,4;17;118;;
;Сентябрь 2024;О645КА977;О645КА977;12836;216;189,0;27,1;3616,5;3 623;3 370;28,2;253;9,3;26,3;16;115;;
;Июль 2023;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;943;;;;;;;;;#ДЕЛ/0!;;;;;
;Август 2023;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;4800;;;;;;;;;#ДЕЛ/0!;;;;;
;Сентябрь 2023;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;5577;;;;;;;;;#ДЕЛ/0!;;;;;
;Июль 2023;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;77;;;;;;;;;#ДЕЛ/0!;;;;;
;Август 2023;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;10314;;;;;;;;;#ДЕЛ/0!;;;;;
;Сентябрь 2023;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;6471;;;;;;;;;#ДЕЛ/0!;;;;;
;Июль 2023;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;83;;;;;;;;;#ДЕЛ/0!;;;;;
;Август 2023;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;8161;;;;;;;;;#ДЕЛ/0!;;;;;
;Сентябрь 2023;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;9367;;;;;;;;;#ДЕЛ/0!;;;;;
;Сентябрь 2023;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;1039;;;;;;;;;#ДЕЛ/0!;;;;;
;Июль 2023;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;88;;;;;;;;;#ДЕЛ/0!;;;;;
;Сентябрь 2023;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;239;;;;;;;;;#ДЕЛ/0!;;;;;
;Сентябрь 2023;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;281;;;;;;;;;#ДЕЛ/0!;;;;;
;Июль 2023;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;6954;;;;;;;;;#ДЕЛ/0!;;;;;
;Август 2023;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;184;;;;;;;;;#ДЕЛ/0!;;;;;
;Сентябрь 2023;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;7272;;;;;;;;;#ДЕЛ/0!;;;;;
;Апрель 2024;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;4406;;;;;;;;;#ДЕЛ/0!;;;;;
;Май 2024;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;4985;;;;;;;;;#ДЕЛ/0!;;;;;
;Август 2023;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;78;;;;;;;;;#ДЕЛ/0!;;;;;
;Сентябрь 2023;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;164;;;;;;;;;#ДЕЛ/0!;;;;;
;Сентябрь 2023;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;96;;;;;;;;;#ДЕЛ/0!;;;;;
;Июль 2023;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;4927;;;;;;;;;#ДЕЛ/0!;;;;;
;Август 2023;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;7475;;;;;;;;;#ДЕЛ/0!;;;;;
